Name,Price,Description,Reviews,Rating,Image URL
Adidas Breaknet 2.0 Men Casual Sneakers,"₹3,599","['UPPER MATERIAL - Synthetic', 'SOLE MATERIAL - Rubber', 'FASTENING - Lace-up', 'TOE SHAPE - Round', 'Color - Black']",618 ratings,4.1 out of 5 stars,https://m.media-amazon.com/images/I/31UH40wy+HL._SY395_SX395_.jpg
Nike Mens Jordan 1 Retro HighSneaker,"₹11,807","['Outer Material : Leather', 'All nike products are meant to deliver high performance, durability and great comfort', 'Warranty details: Contact seller for warranty']",67 ratings,2.9 out of 5 stars,https://m.media-amazon.com/images/I/41+Iv14MSwL._SX395_SY395_.jpg
Saucony Mens Endorphin Pro 4Running Shoe,"₹20,392","['Upgraded dual-cushioning system', 'Lattice designed outsole', 'Improved race-ready upper', 'New sockliner']",6 ratings,4.0 out of 5 stars,https://m.media-amazon.com/images/I/51K-j2FYiOL._SX395_SY395_QL70_ML2_.jpg
Puma Mens VoltigeSneaker,"₹2,699","['Style Name:-Sneaker', 'Model Name:-Voltige', 'Brand Color:-Shadow Gray-Black-Concrete Gray', 'Material:-Synthetic', 'Care Instructions:-Wipe with a clean dry cloth']",7 ratings,4.1 out of 5 stars,https://m.media-amazon.com/images/I/31SLQnjOF-L._SY395_SX395_.jpg
Puma Mens Contempt Demi Remix MeshRunning Shoe,"₹2,879","['Style Name:-Running Shoe', 'Model Name:-Contempt Demi Remix Mesh', 'Brand Color:-Black-Gold-Gum', 'Material:-Textile', 'Care Instructions:-Wipe with a clean dry cloth']",2 ratings,5.0 out of 5 stars,https://m.media-amazon.com/images/I/31EtfyofXvL._SY395_SX395_.jpg
Nike Mens Air Zoom Structure 25Running Shoes,"₹9,634",['NIKE AIR ZOOM STRUCTURE 25-GEODE TEAL/PURPLE INK-DEEP JUNGLE-WHITE-DJ7883-300-10UK'],2 ratings,4.0 out of 5 stars,https://m.media-amazon.com/images/I/31O6CB8IVWL._SY395_SX395_.jpg
Nike Mens Mens Air Zoom Pegasus 40 PrmRunning Shoes,"₹9,183",['AIR ZOOM PEGASUS 40-WHITE/OBSIDIAN-LT OREWOOD BRN-PHANTOM-DV3853-100-8UK'],144 ratings,4.0 out of 5 stars,https://m.media-amazon.com/images/I/31Al8P-bf+L._SY395_SX395_.jpg
Lancer Men's Sports Running Shoes Indus-251,₹549,"['Outer Material: Textile', 'Closure Type: Lace-Up', 'Toe Style: Round Toe', 'Warranty Type: Manufacturer', 'Warranty Description: 15 days']","4,614 ratings",3.7 out of 5 stars,https://m.media-amazon.com/images/I/41+xHhoHXML._SY395_SX395_.jpg
Skechers Boys Equalizer 3.0 Sneakers,"₹2,899","['Material Type: Mesh', 'Lifestyle: Casual', 'Closure Type: Lace-Up', 'Warranty Type: Manufacturer', 'Product warranty against manufacturing defects: 90 days', 'Care Instructions: Allow your pair of shoes to air and de-odorize at regular basis; use shoe bags to prevent any stains or mildew; dust any dry dirt from the surface using a clean cloth; do not use polish or shiner']","4,652 ratings",4.4 out of 5 stars,https://m.media-amazon.com/images/I/41ZY0PRpEoL._SX395_SY395_.jpg
SPARX Mens Sm 648sports Running Shoes,₹769,"['Light Weight', 'Breathable', 'Flexible']","6,301 ratings",4.1 out of 5 stars,https://m.media-amazon.com/images/I/41hf2ALTBtL._SX395_SY395_.jpg
Sparx Mens Sd0439gCasual Shoe,₹594,"['Outer Material: Canvas', 'Closure Type: Lace-Up', 'Toe Style: Round Toe', 'Warranty Type: Manufacturer', 'Warranty Description: 30 days']","13,612 ratings",4.2 out of 5 stars,https://m.media-amazon.com/images/I/31x8oyJlKOL._SX395_SY395_.jpg
ASICS Men's Gel-Rocket 11 Indoor Sports Shoes,"₹5,855","['Multi-purpose indoor court shoe that offers good stability and easy movement for a range of court athletes.', 'Provides better stability during game', 'Upper Material - Synthetic Leather']",52 ratings,3.9 out of 5 stars,https://m.media-amazon.com/images/I/41stg57LjtL._SX395_SY395_.jpg
Woodland Mens OGC 3497119Sneaker,"₹2,634",['MENS CASUALS LACES'],441 ratings,3.9 out of 5 stars,https://m.media-amazon.com/images/I/41D76ovPuqL._SX395_SY395_.jpg
Skechers Mens Crossbar-stilholtSports Shoe,"₹3,299","['RELAXED FIT Lace-Up Outdoor Shoe W/ Air-Cooled Memory Foam', 'MEDIUM CUSHIONING']",632 ratings,3.9 out of 5 stars,https://m.media-amazon.com/images/I/41aR9EAc64L._SX395_SY395_.jpg
